id,name,address,lat,lon,biz_type,description,neighborhood,zip,source,hiring_notes,notes,website,phone,created_at
1,Midway,,41.7872183,-87.7379419,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
2,31R,,41.7805746,-87.7456039,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
3,63rd Street & Cicero,,41.7783413,-87.7417834,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
4,6220 S Cicero,,41.7801648,-87.7421785,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
5,63rd Street & Lamon,,41.7782951,-87.7444122,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
6,Fuel Bar,,41.7841266,-87.741949,cafe,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
7,iStore,,41.7873586,-87.7449603,gift,,Archer Heights,60632,osm,,,https://www.midwaypartnership.com/businesses/istore-b17/,,2026-04-30 04:12:41
8,Southside News,,41.7852906,-87.7432316,newsagent,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
9,Big & Little’s,,41.7871976,-87.7447495,fast_food,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
10,Hudson,,41.7864176,-87.7419387,convenience,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
11,Porkchop,,41.7872572,-87.7446799,fast_food,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
12,Xtreme Mobile,4702 West 63rd Street,41.778847,-87.7404899,mobile_phone,,Archer Heights,60632,osm,,,http://cellphonerepairsinchicagoil.com,+1-773-581-8111,2026-04-30 04:12:41
13,63rd Street & Kostner,,41.7786254,-87.7329402,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
14,63rd Street & Kilpatrick,,41.7785469,-87.739713,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
15,63rd Street & Knox,,41.7785505,-87.7384917,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
16,63rd Street & Kilbourn,,41.7784589,-87.7347053,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
17,59th Street & Kostner,,41.785773,-87.7328975,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
18,59th Street & Kilbourn,,41.7857465,-87.7353484,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
19,Mr C’s Midway Bar,4654 West 63rd Street,41.7786634,-87.739553,bar,,Archer Heights,60632,osm,,,,+1-773-582-0833,2026-04-30 04:12:41
20,Nuts on Clark,,41.7856696,-87.7422679,fast_food,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
21,Woodgrain,,41.7859108,-87.7422147,fast_food,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
22,Big Shoulders Coffee,,41.7849903,-87.7432557,cafe,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
23,Arami,,41.7857875,-87.7421099,fast_food,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
24,Reilly's Daughter,,41.7857298,-87.7423605,restaurant,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
25,Billy Goat Tavern,,41.7859687,-87.742136,fast_food,,Archer Heights,60632,osm,,,https://www.billygoattavern.com/locations/midway/,,2026-04-30 04:12:41
26,Ink,,41.7855064,-87.7425632,books,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
27,Midway Orange Line Station,,41.7866235,-87.7387117,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
28,E2,,41.7843887,-87.7417085,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
29,Harry Carry’s Shortstop,,41.7854343,-87.7428534,bar,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
30,Subway,6400 South Cicero Avenue,41.7762999,-87.7427434,fast_food,,Archer Heights,60632,osm,,,https://restaurants.subway.com/united-states/il/chicago/6400-s-cicero,+1 773-498-4050,2026-04-30 04:12:41
31,Boost Mobile,6400 South Cicero Avenue,41.7764599,-87.742722,mobile_phone,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
32,Midway,4612 West 59th Street,41.7867195,-87.7380116,other,,Archer Heights,60632,osm,,,https://www.transitchicago.com/station/mdw/,,2026-04-30 04:12:41
33,Flight Forms,,41.7845696,-87.740891,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
34,FAO Schwartz,,41.7862834,-87.7419745,toys,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
35,BP Shop,4710 West 63rd Street,41.7788643,-87.7401502,convenience,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
36,Giant Cow,,41.7782077,-87.740061,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
37,Einstein Bros. Bagels,5757 South Cicero Avenue,41.7859271,-87.7424423,fast_food,,Archer Heights,60632,osm,,,https://locations.einsteinbros.com/us/il/chicago/5757-south-cicero,+1 312-819-0076,2026-04-30 04:12:41
38,Cielo Cantina,,41.7858101,-87.7425777,restaurant,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
39,The Atrium,,41.7861225,-87.741867,gift,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
40,Ink by Hudson,,41.7873472,-87.7449808,books,,Archer Heights,60632,osm,,,https://www.midwaypartnership.com/businesses/ink-by-hudson-2/,,2026-04-30 04:12:41
41,R.J. Grunts Burger And Fries,,41.7871512,-87.7447997,fast_food,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
42,Garrett Popcorn Shops,,41.787309,-87.7445933,fast_food,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
43,Departure News,,41.7843834,-87.7417436,newsagent,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
44,E1,,41.7844274,-87.7416948,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
45,Ventra,,41.7867099,-87.7386068,vending_machine,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
46,Chicago Midway International Airport,,41.7785687,-87.7425589,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
47,Space Junction of Energy,,41.7867144,-87.7380685,other,,Archer Heights,60632,osm,,,https://www.transitchicago.com/art/midway/,,2026-04-30 04:12:41
48,Midway Branch,,,,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
49,Concourse A,,,,airport_terminal,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
50,Midway Departures,,,,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
51,Kenton Line Subdivision,,,,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
52,Lay-Up,,,,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
53,Midway Park & Ride,,,,parking,,Archer Heights,60632,osm,,,http://www.transitchicago.com/parking/#orangeline,,2026-04-30 04:12:41
54,Midway Park Saver,4607 West 59th Street,,,parking,,Archer Heights,60632,osm,,,https://www.midwayparksaver.com/,,2026-04-30 04:12:41
55,Saint Mary Star of the Sea Church,6435 South Kilbourn Avenue,,,church,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
56,Save-A-Lot,4439 West 63rd Street,,,retail,,Archer Heights,60632,osm,,,https://savealot.com/grocery-stores/chicago-60629-61316/,,2026-04-30 04:12:41
57,7-Eleven,4500 West 63rd Street,,,retail,,Archer Heights,60632,osm,,,https://www.7-eleven.com/locations/il/chicago/4500-w-63rd-st-16259,+1 773-735-7322,2026-04-30 04:12:41
58,St Mary's Parish Center,4626 West 63rd Street,,,commercial,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
59,Winston's Sausages,4701 West 63rd Street,,,commercial,,Archer Heights,60632,osm,,,https://winstonsmarket.net/,,2026-04-30 04:12:41
60,Top View Restaurant,4715 West 63rd Street,,,commercial,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
61,White Castle,4750 West 63rd Street,,,retail,,Archer Heights,60632,osm,,,https://www.whitecastle.com/,,2026-04-30 04:12:41
62,AT&T,6249 South Kilbourn Avenue,,,office,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
63,AV Anthony's,4720 West 63rd Street,,,retail,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
64,Giordano's Pizzeria,6314 South Cicero Avenue,,,retail,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
65,Continental Sales “Lots 4 Less”,6333 South Cicero Avenue,,,retail,,Archer Heights,60632,osm,,,https://www.cslots4less.com/,,2026-04-30 04:12:41
66,Valvoline,6330 South Cicero Avenue,,,retail,,Archer Heights,60632,osm,,,https://store.vioc.com/il/chicago/oil-change-gr0013.html,,2026-04-30 04:12:41
67,Marian Fathers Monastery,6336 South Kilbourn Avenue,,,residential,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
68,Burger King,6350 South Cicero Avenue,,,retail,,Archer Heights,60632,osm,,,https://www.bk.com/restaurants/il/chicago/6350-south-cicero-avenue-12663.html,+1 773-581-5521,2026-04-30 04:12:41
69,McDonald's,6430 South Cicero Avenue,,,retail,,Archer Heights,60632,osm,,,https://www.mcdonalds.com/us/en-us/location/il/chicago/6430-s-cicero/7069.html,,2026-04-30 04:12:41
70,Dunkin',6435 South Cicero Avenue,,,retail,,Archer Heights,60632,osm,,,https://locations.dunkindonuts.com/en/il/chicago/6435-s-cicero-ave/357027,+1 773-735-6715,2026-04-30 04:12:41
71,BP,4710 West 63rd Street,,,yes,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
72,CTA Midway Yard Tower,,,,transportation,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
73,Lou Malnati's Pizzeria,6456 South Cicero Avenue,,,retail,,Archer Heights,60632,osm,,,https://www.loumalnatis.com/chicago-midway,,2026-04-30 04:12:41
74,Park Number 528,6336 South Kilbourn Avenue,,,other,,Archer Heights,60632,osm,,,https://www.chicagoparkdistrict.com/parks-facilities/park-no-528,,2026-04-30 04:12:41
75,Pasteur Elementary School,5825 South Kostner Avenue,,,school,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
76,Calvary Lutheran Church,6149-6151 South Kenneth Avenue,,,church,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
77,Saint Mary School,,,,school,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
78,Inner Loop,,,,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
79,Midway CTA Station,4612 West 59th Street,,,train_station,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
80,386 & 390,,,,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
81,47,,,,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
82,63W & 165,,,,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
83,315; 379; 383; 384 & 385,,,,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
84,63,,,,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
85,55,,,,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
86,A4B,,,,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
87,A4A,,,,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
88,B18,,,,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
89,B16,,,,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
90,B14,,,,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
91,A1,,,,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
92,A2,,,,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
93,A3,,,,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
94,A5,,,,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
95,A7,,,,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
96,A9,,,,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
97,A11,,,,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
98,15,,,,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
99,A20,,,,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
100,A19,,,,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
101,A18,,,,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
102,A16,,,,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
103,A14,,,,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
104,A12,,,,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
105,A10,,,,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
106,Midway Arrivals,,,,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
107,Guard Post,,,,yes,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
108,54B; 55A; 55N; 62H & N62,,,,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
109,59,,,,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
110,Concourse B,,,,airport_terminal,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
111,Midway Kiss & Ride,,,,parking,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
112,E Pad,,,,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
113,Heating and Refridgeration Plant,,,,yes,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
114,Urban Snack Mart,,,,convenience,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
115,Dunkin',4612 West 59th Street,,,fast_food,,Archer Heights,60632,osm,,,https://locations.dunkindonuts.com/en/il/chicago/4612-w-59th-st/336534,+1 773-581-7677,2026-04-30 04:12:41
116,South Loop,,,,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
117,Teddy Bear Pre-School #3,,41.7766366,-87.7223702,school,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
118,63rd Street & Pulaski,,41.7787411,-87.7224074,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
119,63rd Street & Kildare,,41.7786625,-87.7298726,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
120,63rd Street & Keeler,,41.7785274,-87.7277791,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
121,63rd Street & Karlov,,41.7787189,-87.7249582,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
122,63rd Street & Springfield,,41.778793,-87.7200095,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
123,59th Street & Pulaski,,41.786025,-87.722748,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
124,59th Street & Springfield,,41.7860509,-87.7203448,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
125,59th Street & Karlov,,41.7859899,-87.7252678,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
126,59th Street & Keeler,,41.7859579,-87.7276979,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
127,59th Street & Kildare,,41.785798,-87.7304552,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
128,7-Eleven,4001 West 59th Street,41.785624,-87.7232213,convenience,,Archer Heights,60632,osm,,,https://www.7-eleven.com/locations/il/chicago/4001-w.-59th-st-29098,+1 773-582-6251,2026-04-30 04:12:41
129,Audiffred Salon,4318 West 63rd Street,41.7787151,-87.7309142,beauty,,Archer Heights,60632,osm,,,https://www.audiffredsalon.com/,+1 773-498-4754,2026-04-30 04:12:41
130,La Fiesta Bakery,6424 South Pulaski Road,41.7760115,-87.7229967,bakery,,Archer Heights,60632,osm,,,,+1-773-735-6319,2026-04-30 04:12:41
131,Eye Can See Now,,41.778799,-87.722986,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
132,Boost Mobile,4007 West 59th Street,41.7856152,-87.7233731,mobile_phone,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
133,Subway,6450 South Pulaski Road,41.7752899,-87.7231755,fast_food,,Archer Heights,60632,osm,,,https://restaurants.subway.com/united-states/il/chicago/6450-s-pulaski-rd,+1 773-767-2425,2026-04-30 04:12:41
134,Kostner Ave & 63rd St,,41.7787965,-87.7324664,bicycle_rental,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
135,Pulaski Rd & 60th St,,41.784182,-87.7225599,bicycle_rental,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
136,Sergio V Jewelry,5959 South Pulaski Road,41.784258,-87.7226904,jewelry,,Archer Heights,60632,osm,,,,+1-773-471-9297,2026-04-30 04:12:41
137,Tamales Rebe,,41.7836008,-87.7231453,restaurant,,Archer Heights,60632,osm,,,http://tamalesrebe.com/,+1-773-498-2050,2026-04-30 04:12:41
138,Realty of Chicago,,41.7788652,-87.722514,estate_agent,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
139,Talro Auto Insurance,,41.7790774,-87.7225391,insurance,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
140,Metro by T-Mobile,,41.7790233,-87.7225426,mobile_phone,,Archer Heights,60632,osm,,,https://www.metrobyt-mobile.com/stores/bd/metro-by-t-mobile-chicago-il-10279741/,,2026-04-30 04:12:41
141,Pizza Nova,,41.786253,-87.7225862,fast_food,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
142,Oxford Auto Insurance,,41.7862495,-87.7227367,insurance,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
143,Midway Catering & Banquet Hall,4222 West 63rd Street,41.7787471,-87.7287046,events_venue,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
144,Mariscos La Diabla Restaurant,4222 West 63rd Street,41.7787451,-87.7286257,restaurant,,Archer Heights,60632,osm,,,https://www.mariscosladiabla.com/,,2026-04-30 04:12:41
145,Walgreens,4000 West 59th Street,41.7862741,-87.7233785,pharmacy,,Archer Heights,60632,osm,,,https://www.walgreens.com/locator/walgreens-4000+w+59th+st-chicago-il-60629/id=163,,2026-04-30 04:12:41
